LCSC Number,MPN,Capacitance,Voltage,Tolerance,Dielectric,Size
C100042,CC0603KRX7R9BB103,10nF,50V,10%,X7R,0603
C14665,CC0603JRNPO9BN101,100pF,50V,5%,NP0,0603
C105621,CC0603JRNPO9BN200,20pF,50V,5%,NP0,0603
C342900,CGA3E2X7R1H102KT0Y0N,1nF,50V,10%,X7R,0603
C1853148,CC0603JPNPO9BN331,330pF,50V,5%,NP0,0603
C326840,CC0603FRNPO9BN220,22pF,50V,1%,NP0,0603
C105174,UMK107AB7105KA-T,1uF,50V,10%,X7R,0603
C29936,CL10B105KA8NNNC,1uF,25V,10%,X7R,0603
C519561,CC0603FRNPO9BN271,270pF,50V,1%,NP0,0603
C57895,CL10A225KA8NNNC,2.2uF,25V,10%,X5R,0603
C125847,CC0805KKX7R9BB225,2.2uF,50V,10%,X7R,0805
C76971,GRM1555C1H471JA01D,470pF,50V,5%,C0G,0402
C77034,GRM1885C1H272JA01D,2.7nF,50V,5%,C0G,0603
C694508,CGA4F2C0G2A222JT0Y0N,2.2nF,100V,5%,C0G,0805
C107001,CC0402JRNPO9BN221,220pF,50V,5%,NP0,0402
C519500,CC0603FRNPO9BN221,220pF,50V,1%,NP0,0603
C16194987,CL21B335KAFNFNE,3.3uF,25V,10%,X7R,0805
C403725,GRM31CR61E476ME44L,47uF,25V,20%,X5R,1206
C115060,CC0603JRX7R9BB472,4.7nF,50V,5%,X7R,0603
C519554,CC0603JRX7R9BB473,47nF,50V,5%,X7R,0603
C277528,CC0603JRX7R9BB223,22nF,50V,5%,X7R,0603
C84416,GRM21BR61E106KA73L,10uF,25V,10%,X5R,0805
C282071,CC0603CRNPO9BN4R7,4.7pF,50V,5%,NP0,0603
C513648,CC0603FRNPO9BN101,100pF,50V,1%,NP0,0603
C519500,CC0603FRNPO9BN221,220pF,50V,1%,NP0,0603
C107048,CC0603JRNPO9BN332,3.3nF,50V,5%,NP0,0603
C389113,CC0603JRNPO9BN103,10nF,50V,5%,NP0,0603
C513577,CC0603KRX7R9BB474,470nF,50V,10%,X7R,0603
C106843,CC0805KKX7R9BB474,470nF,50V,10%,X7R,0805
C106211,CC0603JRNPO9BN471,470pF,50V,5%,NP0,0603
C519564,CC0603FRNPO9BN471,470pF,50V,1%,NP0,0603
C91183,CC0603JRX7R9BB104,100nF,50V,5%,X7R,0603
C107054,CC0603JRNPO9BN561,560pF,50V,5%,NP0,0603
C519449,CC0603GRNPO9BN101,100pF,50V,2%,NP0,0603
C519486,CC0603FRNPO9BN470,47pF,50V,1%,NP0,0603
C519481,CC0603GRNPO9BN102,1nF,50V,2%,NP0,0603
C2443242,0603N101F101CT,100pF,100V,1%,NP0,0603
C309468,CC0603FRNPO9BN102,1nF,50V,1%,NP0,0603
C519562,CC0603FRNPO9BN331,330pF,50V,1%,NP0,0603
C327088,CC0603JRNPO0BN331,330pF,100V,5%,NP0,0603
C2981728,GRM31C5C1H104FA01L,100nF,50V,1%,C0G,1206
C519565,CC0603FRNPO9BN561,560pF,50V,1%,NP0,0603
