LCSC Number,MPN,Resistance,Power,Tolerance,Size
C22548,RC0603FR-071K,1k,100mW,1%,0603
C99782,RC0603FR-074KL,4.7k,100mW,1%,0603
C98220,RC0603FR-0710K,10k,100mW,1%,0603
C42404610,PTFR0603Q10KP9,10k,100mW,0.02%,0603
C227650,AC0603FR-071K3L,1.33k,100mW,1%,0603
C137670,RC0603FR-0791RL,91,100mW,1%,0603
C482915,RC0603FR-07715RL,715,100mW,1%,0603
C137749,RC0603FR-072K2L,2.32k,100mW,1%,0603
C482858,RC0603FR-074K2L,4.42k,100mW,1%,0603
C273786,RC0603FR-07590RL,590,100mW,1%,0603
C227927,AC0603FR-074K2L,4.22k,100mW,1%,0603
C482647,RC0603FR-071M69L,1.69M,100mW,1%,0603
C137215,RC1206FR-7W1RL,1,500mW,1%,1206
C728665,RT1206BRB07100K,100k,250mW,0.10%,1206
C4292801,AF0603FR-0724KL,24.9k,100mW,1%,0603
